title,duration,release_date,genre,country,director,poster_URL
The Martian,141,2015,Drama,USA,Ridley Scott,https://m.media-amazon.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_FMjpg_UX1000_.jpg
The Martian,141,2015,Science Fiction,USA,Ridley Scott,https://m.media-amazon.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_FMjpg_UX1000_.jpg
The Big Short,131,2015,Drama,USA,Adam McKay,https://m.media-amazon.com/images/M/MV5BZDZkNDQ3YjktYjBlZC00YTY1LTgxOGYtY2RhMWFhZmNkZGY3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Big Short,131,2015,Comedy,USA,Adam McKay,https://m.media-amazon.com/images/M/MV5BZDZkNDQ3YjktYjBlZC00YTY1LTgxOGYtY2RhMWFhZmNkZGY3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Garden of Words,46,2013,Romance,Japan,Makoto Shinkai,https://m.media-amazon.com/images/M/MV5BYjdiMDdlMDItOGM4Ny00YmE4LTk0MTEtMGRhM2Y4OWZkZDZkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Garden of Words,46,2013,Drama,Japan,Makoto Shinkai,https://m.media-amazon.com/images/M/MV5BYjdiMDdlMDItOGM4Ny00YmE4LTk0MTEtMGRhM2Y4OWZkZDZkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Garden of Words,46,2013,Animation,Japan,Makoto Shinkai,https://m.media-amazon.com/images/M/MV5BYjdiMDdlMDItOGM4Ny00YmE4LTk0MTEtMGRhM2Y4OWZkZDZkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Skyfall,143,2012,Thriller ,UK,Sam Mendes,https://m.media-amazon.com/images/M/MV5BNjAzMWNkODUtM2FlMi00NzgyLWJhMGUtMWEyNDYyZGFiN2RlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Skyfall,143,2012,Thriller ,USA,Sam Mendes,https://m.media-amazon.com/images/M/MV5BNjAzMWNkODUtM2FlMi00NzgyLWJhMGUtMWEyNDYyZGFiN2RlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Skyfall,143,2012,Action,UK,Sam Mendes,https://m.media-amazon.com/images/M/MV5BNjAzMWNkODUtM2FlMi00NzgyLWJhMGUtMWEyNDYyZGFiN2RlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Skyfall,143,2012,Action,USA,Sam Mendes,https://m.media-amazon.com/images/M/MV5BNjAzMWNkODUtM2FlMi00NzgyLWJhMGUtMWEyNDYyZGFiN2RlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Snowpiercer,127,2013,Drama,South Korea,Bong Joon Ho,https://m.media-amazon.com/images/M/MV5BMTQ3NzA1MTY3MV5BMl5BanBnXkFtZTgwNzE2Mzg5MTE@._V1_FMjpg_UX1000_.jpg
Snowpiercer,127,2013,Action,South Korea,Bong Joon Ho,https://m.media-amazon.com/images/M/MV5BMTQ3NzA1MTY3MV5BMl5BanBnXkFtZTgwNzE2Mzg5MTE@._V1_FMjpg_UX1000_.jpg
Snowpiercer,127,2013,Science Fiction,South Korea,Bong Joon Ho,https://m.media-amazon.com/images/M/MV5BMTQ3NzA1MTY3MV5BMl5BanBnXkFtZTgwNzE2Mzg5MTE@._V1_FMjpg_UX1000_.jpg
Biutiful,148,2010,Drama,Mexico,Alejando Gonzales Inarritu,https://m.media-amazon.com/images/M/MV5BMzI4OTQ0MDQyNl5BMl5BanBnXkFtZTcwODY5MjQwNA@@._V1_FMjpg_UX1000_.jpg
Biutiful,148,2010,Drama,Spain,Alejando Gonzales Inarritu,https://m.media-amazon.com/images/M/MV5BMzI4OTQ0MDQyNl5BMl5BanBnXkFtZTcwODY5MjQwNA@@._V1_FMjpg_UX1000_.jpg
Biutiful,148,2010,Drama,USA,Alejando Gonzales Inarritu,https://m.media-amazon.com/images/M/MV5BMzI4OTQ0MDQyNl5BMl5BanBnXkFtZTcwODY5MjQwNA@@._V1_FMjpg_UX1000_.jpg
Lord of War,122,2005,Drama ,France,Andrew Niccol,https://m.media-amazon.com/images/M/MV5BNThlY2NkYmMtNTFhNi00MzBiLWJmNzEtZjk5MzYwYWU2MjllXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Lord of War,122,2005,Thriller ,France,Andrew Niccol,https://m.media-amazon.com/images/M/MV5BNThlY2NkYmMtNTFhNi00MzBiLWJmNzEtZjk5MzYwYWU2MjllXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Lord of War,122,2005,Drama ,USA,Andrew Niccol,https://m.media-amazon.com/images/M/MV5BNThlY2NkYmMtNTFhNi00MzBiLWJmNzEtZjk5MzYwYWU2MjllXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Lord of War,122,2005,Thriller ,USA,Andrew Niccol,https://m.media-amazon.com/images/M/MV5BNThlY2NkYmMtNTFhNi00MzBiLWJmNzEtZjk5MzYwYWU2MjllXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Lord of War,122,2005,Drama ,Germany,Andrew Niccol,https://m.media-amazon.com/images/M/MV5BNThlY2NkYmMtNTFhNi00MzBiLWJmNzEtZjk5MzYwYWU2MjllXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Lord of War,122,2005,Thriller ,Germany,Andrew Niccol,https://m.media-amazon.com/images/M/MV5BNThlY2NkYmMtNTFhNi00MzBiLWJmNzEtZjk5MzYwYWU2MjllXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Little Miss Sunshine,102,2006,Drama,USA,Valerie Faris,https://m.media-amazon.com/images/M/MV5BMTgzNTgzODU0NV5BMl5BanBnXkFtZTcwMjEyMjMzMQ@@._V1_FMjpg_UX1000_.jpg
Little Miss Sunshine,102,2006,Comedy,USA,Valerie Faris,https://m.media-amazon.com/images/M/MV5BMTgzNTgzODU0NV5BMl5BanBnXkFtZTcwMjEyMjMzMQ@@._V1_FMjpg_UX1000_.jpg
Little Miss Sunshine,102,2006,Drama,USA,Jonathan Dayton,https://m.media-amazon.com/images/M/MV5BMTgzNTgzODU0NV5BMl5BanBnXkFtZTcwMjEyMjMzMQ@@._V1_FMjpg_UX1000_.jpg
Little Miss Sunshine,102,2006,Comedy,USA,Jonathan Dayton,https://m.media-amazon.com/images/M/MV5BMTgzNTgzODU0NV5BMl5BanBnXkFtZTcwMjEyMjMzMQ@@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Thriller ,Denmark,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Drama,Denmark,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Thriller ,Finland,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Drama,Finland,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Thriller ,France,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Drama,France,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Thriller ,Germany,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Drama,Germany,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Thriller ,Netherlands,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Drama,Netherlands,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Thriller ,Norway,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Drama,Norway,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Thriller ,Sweden,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Drama,Sweden,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Thriller ,UK,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Drama,UK,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Thriller ,Italy,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dogville,178,2003,Drama,Italy,Lars von Trier,https://m.media-amazon.com/images/M/MV5BMThkZDEzYWEtMDZhMC00NWQwLTlmMWYtNTEwYjMzY2UxMDRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
28 Days Later,113,2002,Science Fiction,UK,Danny Boyle,https://m.media-amazon.com/images/M/MV5BM2I4NTI0ZGQtNGQ2ZC00ODIxLWI2N2QtMDBkNzI1NDhjYjE5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
28 Days Later,113,2002,Horror,UK,Danny Boyle,https://m.media-amazon.com/images/M/MV5BM2I4NTI0ZGQtNGQ2ZC00ODIxLWI2N2QtMDBkNzI1NDhjYjE5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
28 Days Later,113,2002,Thriller ,UK,Danny Boyle,https://m.media-amazon.com/images/M/MV5BM2I4NTI0ZGQtNGQ2ZC00ODIxLWI2N2QtMDBkNzI1NDhjYjE5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Tokyo Godfathers,92,2003,Drama,Japan,Satoshi Kon,https://m.media-amazon.com/images/M/MV5BNmEzNDcwYzQtMzM0Zi00YWYxLTkzOWEtY2Y0ZTJiNDVjM2NkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Tokyo Godfathers,92,2003,Comedy,Japan,Satoshi Kon,https://m.media-amazon.com/images/M/MV5BNmEzNDcwYzQtMzM0Zi00YWYxLTkzOWEtY2Y0ZTJiNDVjM2NkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Tokyo Godfathers,92,2003,Animation,Japan,Satoshi Kon,https://m.media-amazon.com/images/M/MV5BNmEzNDcwYzQtMzM0Zi00YWYxLTkzOWEtY2Y0ZTJiNDVjM2NkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Punch-Drunk Love,96,2002,Drama,USA,Paul Thomas Anderson,https://m.media-amazon.com/images/M/MV5BZTYyMTQ2MDAtMzYzYS00YjZiLWJiNDUtZjEwNzM4YzE1ZDhhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Punch-Drunk Love,96,2002,Romance,USA,Paul Thomas Anderson,https://m.media-amazon.com/images/M/MV5BZTYyMTQ2MDAtMzYzYS00YjZiLWJiNDUtZjEwNzM4YzE1ZDhhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Punch-Drunk Love,96,2002,Comedy,USA,Paul Thomas Anderson,https://m.media-amazon.com/images/M/MV5BZTYyMTQ2MDAtMzYzYS00YjZiLWJiNDUtZjEwNzM4YzE1ZDhhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
City of God,129,2002,Drama,Brazil,Fernando Meirelles,https://m.media-amazon.com/images/M/MV5BYjY4NGI5OTUtY2ZlZS00Zjk4LTk5N2MtN2JmYWVjNGNmMGRlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Wolf Children,117,2012,Animation,Japan,Mamoru Hosoda,https://m.media-amazon.com/images/M/MV5BMDc4MTk0ZTEtMWNiMC00MTM3LWFmOTQtMDAwMjQ2MjhiNTcxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Wolf Children,117,2012,Drama,Japan,Mamoru Hosoda,https://m.media-amazon.com/images/M/MV5BMDc4MTk0ZTEtMWNiMC00MTM3LWFmOTQtMDAwMjQ2MjhiNTcxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Alien,117,1979,Horror,USA,Ridley Scott,https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Alien,117,1979,Horror,UK,Ridley Scott,https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Alien,117,1979,Science Fiction,USA,Ridley Scott,https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Alien,117,1979,Science Fiction,UK,Ridley Scott,https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Aliens,137,1986,Action,USA,James Cameron,https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Aliens,137,1986,Horror,USA,James Cameron,https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Aliens,137,1986,Science Fiction,USA,James Cameron,https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
